返航安全余量rho,服务区编号,机型,最大安全载荷kg,架次数,总能耗kWh
0.0,S001,A,25.0,10,12.3629
0.0,S001,B,30.0,7,7.7736
0.0,S001,C,80.0,2,5.9309
0.0,S004,A,25.0,4,12.2745
0.0,S004,B,30.0,3,8.0162
0.0,S004,C,80.0,1,6.1769
0.0,S008,A,25.0,3,9.564
0.0,S008,B,30.0,2,5.7594
0.0,S008,C,79.425,1,5.8575
0.0,S015,A,25.0,2,4.8288
0.0,S015,B,30.0,1,2.3108
0.0,S015,C,80.0,1,4.0816
0.05,S001,A,25.0,10,12.3629
0.05,S001,B,30.0,7,7.7736
0.05,S001,C,80.0,2,5.9309
0.05,S004,A,25.0,4,12.2745
0.05,S004,B,30.0,3,8.0162
0.05,S004,C,78.682,1,6.1769
0.05,S008,A,25.0,3,9.564
0.05,S008,B,30.0,2,5.7594
0.05,S008,C,75.653,1,5.8575
0.05,S015,A,25.0,2,4.8288
0.05,S015,B,30.0,1,2.3108
0.05,S015,C,80.0,1,4.0816
0.1,S001,A,25.0,10,12.3629
0.1,S001,B,30.0,7,7.7736
0.1,S001,C,80.0,2,5.9309
0.1,S004,A,25.0,4,12.2745
0.1,S004,B,30.0,3,8.0162
0.1,S004,C,74.569,1,6.1769
0.1,S008,A,25.0,3,9.564
0.1,S008,B,30.0,2,5.7594
0.1,S008,C,71.109,1,5.8575
0.1,S015,A,25.0,2,4.8288
0.1,S015,B,30.0,1,2.3108
0.1,S015,C,80.0,1,4.0816
0.15,S001,A,25.0,10,12.3629
0.15,S001,B,30.0,7,7.7736
0.15,S001,C,80.0,2,5.9309
0.15,S004,A,25.0,4,12.2745
0.15,S004,B,30.0,3,8.0162
0.15,S004,C,69.547,1,6.1769
0.15,S008,A,25.0,3,9.564
0.15,S008,B,30.0,2,5.7594
0.15,S008,C,65.515,1,5.8575
0.15,S015,A,25.0,2,4.8288
0.15,S015,B,30.0,1,2.3108
0.15,S015,C,80.0,1,4.0816
0.2,S001,A,25.0,10,12.3629
0.2,S001,B,30.0,7,7.7736
0.2,S001,C,80.0,2,5.9309
0.2,S004,A,25.0,4,12.2745
0.2,S004,B,30.0,3,8.0162
0.2,S004,C,63.259,1,6.1769
0.2,S008,A,25.0,3,9.564
0.2,S008,B,28.632,2,5.7594
0.2,S008,C,58.436,1,5.8575
0.2,S015,A,25.0,2,4.8288
0.2,S015,B,30.0,1,2.3108
0.2,S015,C,80.0,1,4.0816
0.25,S001,A,25.0,10,12.3629
0.25,S001,B,30.0,7,7.7736
0.25,S001,C,80.0,2,5.9309
0.25,S004,A,25.0,4,12.2745
0.25,S004,B,27.216,3,8.0162
0.25,S004,C,55.12,2,10.4813
0.25,S008,A,24.116,3,9.564
0.25,S008,B,25.273,2,5.7594
0.25,S008,C,49.112,1,5.8575
0.25,S015,A,25.0,2,4.8288
0.25,S015,B,30.0,1,2.3108
0.25,S015,C,78.344,1,4.0816
0.3,S001,A,25.0,10,12.3629
0.3,S001,B,30.0,7,7.7736
0.3,S001,C,80.0,2,5.9309
0.3,S004,A,19.603,5,15.0838
0.3,S004,B,23.193,3,8.0162
0.3,S004,C,44.038,2,10.4813
0.3,S008,A,13.517,1000000000,inf
0.3,S008,B,20.732,3,7.8747
0.3,S008,C,36.001,2,10.6422
0.3,S015,A,25.0,2,4.8288
0.3,S015,B,30.0,1,2.3108
0.3,S015,C,72.876,1,4.0816
0.35,S001,A,25.0,10,12.3629
0.35,S001,B,30.0,7,7.7736
0.35,S001,C,80.0,2,5.9309
0.35,S004,A,3.708,1000000000,inf
0.35,S004,B,17.485,4,10.1187
0.35,S004,C,27.429,3,15.2149
0.35,S008,A,0.0,-,-
0.35,S008,B,14.055,4,10.1784
0.35,S008,C,14.189,4,20.6706
0.35,S015,A,25.0,2,4.8288
0.35,S015,B,30.0,1,2.3108
0.35,S015,C,65.778,1,4.0816
0.4,S001,A,25.0,10,12.3629
0.4,S001,B,30.0,7,7.7736
0.4,S001,C,80.0,2,5.9309
0.4,S004,A,0.0,-,-
0.4,S004,B,8.07,1000000000,inf
0.4,S004,C,0.0,-,-
0.4,S008,A,0.0,-,-
0.4,S008,B,0.0,-,-
0.4,S008,C,0.0,-,-
0.4,S015,A,25.0,2,4.8288
0.4,S015,B,27.122,1,2.3108
0.4,S015,C,56.159,1,4.0816
