架次编号,无人机编号,机型编号,电池编号,开始时刻s,访问服务区顺序,返回O01时刻s,架次能耗kWh,返航SOC%,货箱编号列表
Q2-001,U05,B,B-BAT-01,0.000,S010,1554.572,1.821004,54.4749,"S010-FOD-01,S010-MED-01,S010-WAT-01"
Q2-002,U06,B,B-BAT-02,0.000,S014,1868.598,2.137233,46.5692,"S014-FOD-01,S014-MED-01,S014-WAT-01"
Q2-007,U07,C,C-BAT-01,0.000,S001,1627.427,2.926237,63.4220,"S001-FOD-03,S001-HYG-02,S001-MED-01,S001-MED-02,S001-WAT-05,S001-WAT-06,S001-WAT-07,S001-WAT-08"
Q2-010,U08,C,C-BAT-02,0.000,S001,1561.427,3.004662,62.4417,"S001-FOD-01,S001-FOD-02,S001-HYG-01,S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-04"
Q2-006,U01,A,A-BAT-01,1450.520,"S007,S015",3762.024,2.639561,41.3431,"S007-MED-01,S007-WAT-02,S015-MED-01"
Q2-005,U02,A,A-BAT-02,1480.520,S007,3207.839,1.970612,56.2086,"S007-FOD-01,S007-WAT-01"
Q2-004,U03,A,A-BAT-03,1552.048,S009,3243.584,2.261510,49.7442,"S009-MED-01,S009-WAT-01"
Q2-014,U04,A,A-BAT-04,1552.048,"S009,S002",3771.850,3.024738,32.7836,"S002-WAT-04,S009-FOD-01"
Q2-013,U05,B,B-BAT-03,1554.573,S013,3064.974,1.824534,54.3867,"S013-FOD-01,S013-MED-01,S013-WAT-01"
Q2-008,U08,C,C-BAT-03,1561.427,S006,3122.291,2.593935,67.5758,"S006-FOD-01,S006-HYG-01,S006-MED-01,S006-WAT-01,S006-WAT-02,S006-WAT-03"
Q2-011,U07,C,C-BAT-04,1627.427,S002,3804.435,6.300716,21.2410,"S002-FOD-01,S002-FOD-02,S002-HYG-01,S002-MED-01,S002-WAT-01,S002-WAT-02,S002-WAT-03"
Q2-012,U06,B,B-BAT-04,1868.599,S012,3792.400,2.755193,31.1202,"S012-FOD-01,S012-MED-01,S012-WAT-01"
Q2-009,U05,B,B-BAT-01,3064.974,S008,4970.864,2.773426,30.6643,"S008-HYG-01,S008-WAT-01"
Q2-015,U02,A,A-BAT-05,3207.839,"S011,S003",5797.236,3.205821,28.7595,"S003-MED-01,S003-WAT-04,S011-MED-01"
Q2-016,U08,C,C-BAT-02,3208.523,"S007,S003",5901.837,6.390394,20.1201,"S003-FOD-01,S003-FOD-02,S003-HYG-01,S003-WAT-01,S003-WAT-02,S003-WAT-03,S007-HYG-01"
Q2-021,U03,A,A-BAT-06,3243.584,S015,5213.795,2.561482,43.0782,"S015-FOD-01,S015-WAT-01"
Q2-019,U06,B,B-BAT-02,3792.401,S008,5758.291,2.985980,25.3505,"S008-FOD-01,S008-MED-01,S008-WAT-02"
Q2-020,U07,C,C-BAT-01,3804.436,S005,5684.482,4.238735,47.0158,"S005-FOD-01,S005-HYG-01,S005-MED-01,S005-WAT-01,S005-WAT-02,S005-WAT-03"
Q2-003,U01,A,A-BAT-02,4742.190,S004,6926.151,2.977257,33.8387,"S004-HYG-01,S004-MED-01"
Q2-017,U04,A,A-BAT-03,4742.190,S004,6926.151,3.203323,28.8150,"S004-FOD-01,S004-WAT-03"
Q2-018,U05,B,B-BAT-03,4970.865,S004,6896.637,3.046945,23.8264,"S004-WAT-01,S004-WAT-02"
Q2-022,U06,B,B-BAT-04,5758.292,S011,6887.923,1.028765,74.2809,"S011-FOD-01,S011-WAT-01"
