返航安全余量rho,服务区编号,机型,最大安全载荷kg,架次数,总能耗kWh
0.0,S001,A,25.0,10,13.0495
0.0,S001,B,30.0,7,9.2923
0.0,S001,C,80.0,2,7.9347
0.0,S004,A,25.0,4,12.9062
0.0,S004,B,29.786,3,9.0458
0.0,S004,C,64.195,2,11.4611
0.0,S008,A,25.0,4,12.867
0.0,S008,B,28.791,3,8.5718
0.0,S008,C,61.492,2,11.1659
0.0,S015,A,25.0,2,4.9968
0.0,S015,B,30.0,1,2.7319
0.0,S015,C,78.078,1,4.2787
0.05,S001,A,25.0,10,13.0495
0.05,S001,B,30.0,7,9.2923
0.05,S001,C,80.0,2,7.9347
0.05,S004,A,25.0,4,12.9062
0.05,S004,B,28.305,3,9.0458
0.05,S004,C,60.527,2,11.4611
0.05,S008,A,25.0,4,12.867
0.05,S008,B,27.24,3,8.5718
0.05,S008,C,57.607,2,11.1659
0.05,S015,A,25.0,2,4.9968
0.05,S015,B,30.0,1,2.7319
0.05,S015,C,75.453,1,4.2787
0.1,S001,A,25.0,10,13.0495
0.1,S001,B,30.0,7,9.2923
0.1,S001,C,80.0,2,7.9347
0.1,S004,A,25.0,4,12.9062
0.1,S004,B,26.611,3,9.0458
0.1,S004,C,56.319,2,11.4611
0.1,S008,A,25.0,4,12.867
0.1,S008,B,25.463,3,8.5718
0.1,S008,C,53.135,2,11.1659
0.1,S015,A,25.0,2,4.9968
0.1,S015,B,30.0,1,2.7319
0.1,S015,C,72.478,1,4.2787
0.15,S001,A,25.0,10,13.0495
0.15,S001,B,30.0,7,9.2923
0.15,S001,C,80.0,2,7.9347
0.15,S004,A,25.0,4,12.9062
0.15,S004,B,24.649,3,9.0458
0.15,S004,C,51.43,2,11.4611
0.15,S008,A,25.0,4,12.867
0.15,S008,B,23.398,3,8.5718
0.15,S008,C,47.911,2,11.1659
0.15,S015,A,25.0,2,4.9968
0.15,S015,B,30.0,1,2.7319
0.15,S015,C,69.077,1,4.2787
0.2,S001,A,25.0,10,13.0495
0.2,S001,B,30.0,7,9.2923
0.2,S001,C,80.0,2,7.9347
0.2,S004,A,24.17,4,12.9062
0.2,S004,B,22.343,3,9.0458
0.2,S004,C,45.652,2,11.4611
0.2,S008,A,21.712,4,12.867
0.2,S008,B,20.961,3,8.5718
0.2,S008,C,41.686,2,11.1659
0.2,S015,A,25.0,2,4.9968
0.2,S015,B,30.0,1,2.7319
0.2,S015,C,65.147,1,4.2787
0.25,S001,A,25.0,10,13.0495
0.25,S001,B,30.0,7,9.2923
0.25,S001,C,80.0,2,7.9347
0.25,S004,A,19.302,5,15.6197
0.25,S004,B,19.579,4,10.9295
0.25,S004,C,38.658,2,11.1741
0.25,S008,A,16.358,4,12.867
0.25,S008,B,18.017,3,8.5082
0.25,S008,C,34.047,2,11.1659
0.25,S015,A,25.0,2,4.9968
0.25,S015,B,28.112,1,2.7319
0.25,S015,C,60.549,1,4.2787
0.3,S001,A,25.0,10,13.0495
0.3,S001,B,30.0,7,9.2923
0.3,S001,C,80.0,2,7.9347
0.3,S004,A,12.905,1000000000,inf
0.3,S004,B,16.165,5,13.0622
0.3,S004,C,29.86,3,15.8066
0.3,S008,A,8.925,1000000000,inf
0.3,S008,B,14.333,4,10.7104
0.3,S008,C,24.162,2,11.0881
0.3,S015,A,25.0,2,4.9968
0.3,S015,B,25.866,1,2.7319
0.3,S015,C,55.079,1,4.2787
0.35,S001,A,25.0,10,13.0495
0.35,S001,B,30.0,7,9.2923
0.35,S001,C,80.0,2,7.9347
0.35,S004,A,2.335,-,-
0.35,S004,B,11.731,1000000000,inf
0.35,S004,C,17.865,4,20.4828
0.35,S008,A,0.0,-,-
0.35,S008,B,9.399,1000000000,inf
0.35,S008,C,9.294,1000000000,inf
0.35,S015,A,25.0,2,4.9968
0.35,S015,B,23.143,2,4.2029
0.35,S015,C,48.435,1,4.2787
0.4,S001,A,25.0,10,13.0495
0.4,S001,B,30.0,7,9.2923
0.4,S001,C,80.0,2,7.9347
0.4,S004,A,0.0,-,-
0.4,S004,B,5.171,1000000000,inf
0.4,S004,C,0.0,-,-
0.4,S008,A,0.0,-,-
0.4,S008,B,0.083,-,-
0.4,S008,C,0.0,-,-
0.4,S015,A,19.73,2,4.9968
0.4,S015,B,19.749,2,4.2029
0.4,S015,C,40.114,1,4.2787
