服务区编号,机型,架次数,总能耗kWh,总作业时间s
S001,A,10,13.0495,9824.7
S001,B,7,9.2923,6162.5
S001,C,2,7.9347,1838.9
S002,A,5,15.4942,8688.7
S002,B,4,11.5329,5959.6
S002,C,2,11.5827,3070.0
S003,A,5,15.7721,9961.4
S003,B,4,11.7698,7001.0
S003,C,2,11.6397,3719.6
S004,A,4,12.9062,7655.8
S004,B,3,9.0458,4967.3
S004,C,2,11.4611,3458.4
S005,A,4,8.8712,5703.0
S005,B,3,6.2953,3747.1
S005,C,1,5.1124,1304.0
S006,A,4,5.4399,4170.5
S006,B,3,3.865,2809.7
S006,C,1,3.1119,984.9
S007,A,3,5.9512,4327.3
S007,B,2,3.9608,2582.6
S007,C,1,3.8394,1379.2
S008,A,4,12.867,7593.4
S008,B,3,8.5718,4884.1
S008,C,2,11.1659,3368.3
S009,A,2,4.5784,2841.0
S009,B,1,2.5034,1229.7
S009,C,1,3.9689,1267.6
S010,A,2,3.9492,2767.7
S010,B,1,2.1592,1224.6
S010,C,1,3.3866,1289.9
S011,A,2,2.3381,1901.2
S011,B,1,1.2783,856.7
S011,C,1,2.0023,897.8
S012,A,2,5.9972,3680.6
S012,B,2,5.0302,3187.4
S012,C,1,5.1761,1663.5
S013,A,2,3.9558,2678.8
S013,B,1,2.1629,1177.8
S013,C,1,3.4069,1230.3
S014,A,2,4.635,3437.9
S014,B,1,2.5339,1538.6
S014,C,1,3.9287,1656.1
S015,A,2,4.9968,3382.8
S015,B,1,2.7319,1490.8
S015,C,1,4.2787,1579.0
