架次编号,服务区编号,机型编号,货箱组合,总质量kg,总体积m³,往返时间s,架次能耗kWh,返航SOC%
B001,S001,C,医疗物资×2 + 饮用水×3 + 应急食品×2 + 生活卫生用品×2,76.0,0.231,919.4,3.8891,51.39
B002,S001,C,饮用水×5 + 应急食品×1,78.0,0.163,919.4,4.0455,49.43
B003,S002,C,医疗物资×1 + 饮用水×1 + 应急食品×2 + 生活卫生用品×1,39.0,0.13,1535.0,5.7139,28.58
B004,S002,C,饮用水×3,42.0,0.081,1535.0,5.8688,26.64
B005,S003,C,医疗物资×1 + 饮用水×1 + 应急食品×2 + 生活卫生用品×1,39.0,0.13,1859.8,5.742,28.23
B006,S003,C,饮用水×3,42.0,0.081,1859.8,5.8977,26.28
B007,S004,C,医疗物资×1 + 饮用水×2 + 应急食品×1 + 生活卫生用品×1,45.0,0.129,1729.2,6.3591,20.51
B008,S004,C,饮用水×1,14.0,0.027,1729.2,5.102,36.23
B009,S005,C,医疗物资×1 + 饮用水×3 + 应急食品×1 + 生活卫生用品×1,59.0,0.156,1304.0,5.1124,36.1
B010,S006,C,医疗物资×1 + 饮用水×3 + 应急食品×1 + 生活卫生用品×1,59.0,0.156,984.9,3.1119,61.1
B011,S007,C,医疗物资×1 + 饮用水×2 + 应急食品×1 + 生活卫生用品×1,45.0,0.129,1379.2,3.8394,52.01
B012,S008,C,医疗物资×1 + 饮用水×1 + 应急食品×1 + 生活卫生用品×1,31.0,0.102,1684.1,5.8639,26.7
B013,S008,C,饮用水×1,14.0,0.027,1684.1,5.3021,33.72
B014,S009,B,医疗物资×1 + 饮用水×1 + 应急食品×1,25.0,0.067,1229.7,2.5034,37.42
B015,S010,B,医疗物资×1 + 饮用水×1 + 应急食品×1,25.0,0.067,1224.6,2.1592,46.02
B016,S011,B,医疗物资×1 + 饮用水×1 + 应急食品×1,25.0,0.067,856.7,1.2783,68.04
B017,S012,C,医疗物资×1 + 饮用水×1 + 应急食品×1,25.0,0.067,1663.5,5.1761,35.3
B018,S013,B,医疗物资×1 + 饮用水×1 + 应急食品×1,25.0,0.067,1177.8,2.1629,45.93
B019,S014,B,医疗物资×1 + 饮用水×1 + 应急食品×1,25.0,0.067,1538.6,2.5339,36.65
B020,S015,B,医疗物资×1 + 饮用水×1 + 应急食品×1,25.0,0.067,1490.8,2.7319,31.7
