电池编号,机型编号,架次编号,占用开始s,任务返回s,返航SOC%,充电完成s
A-BAT-01,A,Q2-005,0.0,1612.025,56.4953,2677.586
A-BAT-01,A,Q2-019,2677.586,4606.548,51.4371,5737.866
A-BAT-02,A,Q2-006,0.0,1653.854,56.6111,2717.909
A-BAT-03,A,Q2-007,0.0,2110.416,34.1995,3465.823
A-BAT-04,A,Q2-008,0.0,1988.962,49.1649,3149.819
A-BAT-05,A,Q2-017,1612.025,3950.476,33.6077,5313.576
A-BAT-06,A,Q2-018,1653.854,3247.707,58.5405,4286.681
B-BAT-01,B,Q2-003,0.0,1819.89,31.9525,3666.046
B-BAT-01,B,Q2-021,3900.133,5460.913,47.4392,7038.633
B-BAT-02,B,Q2-004,0.0,1636.191,55.5065,3074.078
B-BAT-02,B,Q2-016,3212.382,5041.956,42.2289,6709.989
B-BAT-03,B,Q2-011,1636.191,3212.382,58.5943,4596.748
B-BAT-03,B,Q2-022,5041.956,6231.587,73.0713,7365.017
B-BAT-04,B,Q2-015,1819.89,3900.133,30.5225,5771.077
C-BAT-01,C,Q2-001,0.0,1561.427,63.422,3187.283
C-BAT-01,C,Q2-012,3188.853,5494.039,22.7893,8000.272
C-BAT-02,C,Q2-002,0.0,1560.864,67.5758,3096.721
C-BAT-02,C,Q2-013,3605.872,5809.632,26.7819,8229.358
C-BAT-03,C,Q2-010,1560.864,3605.872,28.2583,5993.608
C-BAT-03,C,Q2-020,5993.608,7873.654,47.0158,9854.978
C-BAT-04,C,Q2-009,1561.427,3188.853,62.4417,4835.949
C-BAT-04,C,Q2-014,5494.039,7863.85,27.959,10258.072
