货箱编号,架次编号,服务区编号,交付完成时刻s,硬时限s,期望送达时刻s,是否硬时限满足
S001-FOD-01,Q2-009,S001,2876.325,,7200.0,
S001-FOD-02,Q2-009,S001,2876.325,,7200.0,
S001-FOD-03,Q2-009,S001,2876.325,,7200.0,
S001-HYG-01,Q2-009,S001,2876.325,,10800.0,
S001-HYG-02,Q2-009,S001,2876.325,,10800.0,
S001-MED-01,Q2-001,S001,1248.898,3600.0,3600.0,是
S001-MED-02,Q2-001,S001,1248.898,3600.0,3600.0,是
S001-WAT-01,Q2-001,S001,1248.898,3600.0,3600.0,是
S001-WAT-02,Q2-001,S001,1248.898,,3600.0,
S001-WAT-03,Q2-001,S001,1248.898,,3600.0,
S001-WAT-04,Q2-001,S001,1248.898,,3600.0,
S001-WAT-05,Q2-001,S001,1248.898,,3600.0,
S001-WAT-06,Q2-009,S001,2876.325,,3600.0,
S001-WAT-07,Q2-009,S001,2876.325,,3600.0,
S001-WAT-08,Q2-009,S001,2876.325,,3600.0,
S002-FOD-01,Q2-003,S002,1221.885,,7200.0,
S002-FOD-02,Q2-010,S002,2983.778,,7200.0,
S002-HYG-01,Q2-010,S002,2983.778,,10800.0,
S002-MED-01,Q2-003,S002,1221.885,3600.0,3600.0,是
S002-WAT-01,Q2-003,S002,1221.885,3600.0,3600.0,是
S002-WAT-02,Q2-010,S002,2983.778,,3600.0,
S002-WAT-03,Q2-010,S002,2983.778,,3600.0,
S002-WAT-04,Q2-010,S002,2983.778,,3600.0,
S003-FOD-01,Q2-014,S003,7073.404,,10800.0,
S003-FOD-02,Q2-015,S003,3167.985,,10800.0,
S003-HYG-01,Q2-014,S003,7073.404,,14400.0,
S003-MED-01,Q2-015,S003,3167.985,7200.0,7200.0,是
S003-WAT-01,Q2-014,S003,7073.404,7200.0,7200.0,是
S003-WAT-02,Q2-014,S003,7073.404,,7200.0,
S003-WAT-03,Q2-014,S003,7073.404,,7200.0,
S003-WAT-04,Q2-015,S003,3167.985,,7200.0,
S004-FOD-01,Q2-012,S004,4774.416,,10800.0,
S004-HYG-01,Q2-012,S004,4774.416,,14400.0,
S004-MED-01,Q2-012,S004,4774.416,7200.0,7200.0,是
S004-WAT-01,Q2-012,S004,4774.416,7200.0,7200.0,是
S004-WAT-02,Q2-012,S004,4774.416,,7200.0,
S004-WAT-03,Q2-012,S004,4774.416,,7200.0,
S005-FOD-01,Q2-020,S005,7368.266,,14400.0,
S005-HYG-01,Q2-020,S005,7368.266,,18000.0,
S005-MED-01,Q2-020,S005,7368.266,10800.0,10800.0,是
S005-WAT-01,Q2-020,S005,7368.266,10800.0,10800.0,是
S005-WAT-02,Q2-020,S005,7368.266,,10800.0,
S005-WAT-03,Q2-020,S005,7368.266,,10800.0,
S006-FOD-01,Q2-002,S006,1209.077,,7200.0,
S006-HYG-01,Q2-002,S006,1209.077,,10800.0,
S006-MED-01,Q2-002,S006,1209.077,3600.0,3600.0,是
S006-WAT-01,Q2-002,S006,1209.077,3600.0,3600.0,是
S006-WAT-02,Q2-002,S006,1209.077,,3600.0,
S006-WAT-03,Q2-002,S006,1209.077,,3600.0,
S007-FOD-01,Q2-004,S007,1125.736,,7200.0,
S007-HYG-01,Q2-011,S007,2701.927,,10800.0,
S007-MED-01,Q2-004,S007,1125.736,3600.0,3600.0,是
S007-WAT-01,Q2-004,S007,1125.736,3600.0,3600.0,是
S007-WAT-02,Q2-011,S007,2701.927,,3600.0,
S008-FOD-01,Q2-013,S008,5105.592,,10800.0,
S008-HYG-01,Q2-013,S008,5105.592,,14400.0,
S008-MED-01,Q2-013,S008,5105.592,7200.0,7200.0,是
S008-WAT-01,Q2-013,S008,5105.592,7200.0,7200.0,是
S008-WAT-02,Q2-013,S008,5105.592,,7200.0,
S009-FOD-01,Q2-021,S009,4992.113,,14400.0,
S009-MED-01,Q2-021,S009,4992.113,10800.0,10800.0,是
S009-WAT-01,Q2-021,S009,4992.113,10800.0,10800.0,是
S010-FOD-01,Q2-018,S010,2698.317,,7200.0,
S010-MED-01,Q2-006,S010,1104.463,3600.0,3600.0,是
S010-WAT-01,Q2-006,S010,1104.463,3600.0,3600.0,是
S011-FOD-01,Q2-022,S011,5948.958,,14400.0,
S011-MED-01,Q2-022,S011,5948.958,10800.0,10800.0,是
S011-WAT-01,Q2-022,S011,5948.958,10800.0,10800.0,是
S012-FOD-01,Q2-017,S012,3175.198,,7200.0,
S012-MED-01,Q2-007,S012,1335.138,7200.0,7200.0,是
S012-WAT-01,Q2-007,S012,1335.138,3600.0,3600.0,是
S013-FOD-01,Q2-017,S013,2665.57,,7200.0,
S013-MED-01,Q2-005,S013,1083.546,3600.0,3600.0,是
S013-WAT-01,Q2-005,S013,1083.546,3600.0,3600.0,是
S014-FOD-01,Q2-019,S014,3889.624,,7200.0,
S014-MED-01,Q2-008,S014,1272.038,7200.0,7200.0,是
S014-WAT-01,Q2-008,S014,1272.038,3600.0,3600.0,是
S015-FOD-01,Q2-016,S015,4430.609,,14400.0,
S015-MED-01,Q2-016,S015,4430.609,7200.0,7200.0,是
S015-WAT-01,Q2-016,S015,4430.609,10800.0,10800.0,是
