电池编号,机型编号,架次编号,占用开始s,任务返回s,返航SOC%,充电完成s
A-BAT-01,A,Q2-003,0.0,2573.512,24.9707,4048.893
A-BAT-01,A,Q2-022,4531.307,5754.843,73.4475,6600.025
A-BAT-02,A,Q2-004,0.0,2436.046,28.8798,3860.61
A-BAT-02,A,Q2-021,3860.61,5830.821,43.0782,7070.805
A-BAT-03,A,Q2-005,0.001,1727.32,56.2086,2796.607
A-BAT-03,A,Q2-015,2796.611,5386.008,28.7595,6812.134
A-BAT-04,A,Q2-006,0.001,2311.505,39.1974,3601.938
A-BAT-04,A,Q2-017,3606.203,5790.164,28.815,7215.569
A-BAT-05,A,Q2-012,1727.324,3837.74,31.9653,5222.191
A-BAT-06,A,Q2-014,2311.505,4531.307,31.8156,5917.703
B-BAT-01,B,Q2-001,0.0,1554.572,54.4749,3010.341
B-BAT-01,B,Q2-018,3670.089,5595.861,23.8264,7582.871
B-BAT-02,B,Q2-002,0.0,1868.598,46.5692,3461.399
B-BAT-02,B,Q2-019,3732.402,5698.292,25.3505,7658.884
B-BAT-03,B,Q2-009,1554.573,3460.463,30.6643,5328.948
B-BAT-04,B,Q2-013,2167.898,3678.299,54.3867,5135.597
C-BAT-01,C,Q2-007,0.003,1627.43,63.422,3253.286
C-BAT-01,C,Q2-020,3738.448,5618.494,47.0158,7599.818
C-BAT-02,C,Q2-008,0.003,1560.867,67.5758,3096.724
C-BAT-02,C,Q2-016,3122.305,5815.619,20.1201,8379.684
C-BAT-03,C,Q2-010,1560.867,3122.294,62.4417,4769.39
C-BAT-04,C,Q2-011,1627.438,3738.446,23.4376,6230.63
