架次编号,无人机编号,机型编号,电池编号,开始时刻s,访问服务区顺序,返回O01时刻s,架次能耗kWh,返航SOC%,货箱编号列表
Q2-001,U05,B,B-BAT-01,0.0,S010,1554.572,1.821004,54.4749,"S010-FOD-01,S010-MED-01,S010-WAT-01"
Q2-002,U06,B,B-BAT-02,0.0,S014,1868.598,2.137233,46.5692,"S014-FOD-01,S014-MED-01,S014-WAT-01"
Q2-003,U01,A,A-BAT-01,0.0,"S004,S002",2573.512,3.376318,24.9707,"S002-MED-01,S004-HYG-01,S004-MED-01"
Q2-004,U02,A,A-BAT-02,0.0,"S009,S012",2436.046,3.200411,28.8798,"S009-MED-01,S009-WAT-01,S012-MED-01"
Q2-005,U03,A,A-BAT-03,0.001,S007,1727.32,1.970612,56.2086,"S007-FOD-01,S007-WAT-01"
Q2-006,U04,A,A-BAT-04,0.001,"S015,S007",2311.505,2.736116,39.1974,"S007-MED-01,S007-WAT-02,S015-MED-01"
Q2-007,U07,C,C-BAT-01,0.003,S001,1627.43,2.926237,63.422,"S001-FOD-03,S001-HYG-02,S001-MED-01,S001-MED-02,S001-WAT-05,S001-WAT-06,S001-WAT-07,S001-WAT-08"
Q2-008,U08,C,C-BAT-02,0.003,S006,1560.867,2.593935,67.5758,"S006-FOD-01,S006-HYG-01,S006-MED-01,S006-WAT-01,S006-WAT-02,S006-WAT-03"
Q2-009,U05,B,B-BAT-03,1554.573,S008,3460.463,2.773426,30.6643,"S008-HYG-01,S008-WAT-01"
Q2-010,U08,C,C-BAT-03,1560.867,S001,3122.294,3.004662,62.4417,"S001-FOD-01,S001-FOD-02,S001-HYG-01,S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-04"
Q2-011,U07,C,C-BAT-04,1627.438,S002,3738.446,6.124988,23.4376,"S002-FOD-01,S002-FOD-02,S002-HYG-01,S002-WAT-01,S002-WAT-02,S002-WAT-03"
Q2-012,U03,A,A-BAT-05,1727.324,S012,3837.74,3.061559,31.9653,"S012-FOD-01,S012-WAT-01"
Q2-013,U06,B,B-BAT-04,2167.898,S013,3678.299,1.824534,54.3867,"S013-FOD-01,S013-MED-01,S013-WAT-01"
Q2-014,U04,A,A-BAT-06,2311.505,"S002,S009",4531.307,3.068296,31.8156,"S002-WAT-04,S009-FOD-01"
Q2-015,U01,A,A-BAT-03,2796.611,"S011,S003",5386.008,3.205821,28.7595,"S003-MED-01,S003-WAT-04,S011-MED-01"
Q2-016,U08,C,C-BAT-02,3122.305,"S007,S003",5815.619,6.390394,20.1201,"S003-FOD-01,S003-FOD-02,S003-HYG-01,S003-WAT-01,S003-WAT-02,S003-WAT-03,S007-HYG-01"
Q2-017,U02,A,A-BAT-04,3606.203,S004,5790.164,3.203323,28.815,"S004-FOD-01,S004-WAT-03"
Q2-018,U05,B,B-BAT-01,3670.089,S004,5595.861,3.046945,23.8264,"S004-WAT-01,S004-WAT-02"
Q2-019,U06,B,B-BAT-02,3732.402,S008,5698.292,2.98598,25.3505,"S008-FOD-01,S008-MED-01,S008-WAT-02"
Q2-020,U07,C,C-BAT-01,3738.448,S005,5618.494,4.238735,47.0158,"S005-FOD-01,S005-HYG-01,S005-MED-01,S005-WAT-01,S005-WAT-02,S005-WAT-03"
Q2-021,U03,A,A-BAT-02,3860.61,S015,5830.821,2.561482,43.0782,"S015-FOD-01,S015-WAT-01"
Q2-022,U04,A,A-BAT-01,4531.307,S011,5754.843,1.194862,73.4475,"S011-FOD-01,S011-WAT-01"
