货箱编号,架次编号,服务区编号,交付完成时刻s,硬时限s,期望送达时刻s,是否硬时限满足
S001-FOD-01,Q2-010,S001,2809.765,,7200.0,
S001-FOD-02,Q2-010,S001,2809.765,,7200.0,
S001-FOD-03,Q2-007,S001,1314.901,,7200.0,
S001-HYG-01,Q2-010,S001,2809.765,,10800.0,
S001-HYG-02,Q2-007,S001,1314.901,,10800.0,
S001-MED-01,Q2-007,S001,1314.901,3600.0,3600.0,是
S001-MED-02,Q2-007,S001,1314.901,3600.0,3600.0,是
S001-WAT-01,Q2-010,S001,2809.765,3600.0,3600.0,是
S001-WAT-02,Q2-010,S001,2809.765,,3600.0,
S001-WAT-03,Q2-010,S001,2809.765,,3600.0,
S001-WAT-04,Q2-010,S001,2809.765,,3600.0,
S001-WAT-05,Q2-007,S001,1314.901,,3600.0,
S001-WAT-06,Q2-007,S001,1314.901,,3600.0,
S001-WAT-07,Q2-007,S001,1314.901,,3600.0,
S001-WAT-08,Q2-007,S001,1314.901,,3600.0,
S002-FOD-01,Q2-011,S002,3116.352,,7200.0,
S002-FOD-02,Q2-011,S002,3116.352,,7200.0,
S002-HYG-01,Q2-011,S002,3116.352,,10800.0,
S002-MED-01,Q2-003,S002,1851.586,3600.0,3600.0,是
S002-WAT-01,Q2-011,S002,3116.352,3600.0,3600.0,是
S002-WAT-02,Q2-011,S002,3116.352,,3600.0,
S002-WAT-03,Q2-011,S002,3116.352,,3600.0,
S002-WAT-04,Q2-014,S002,3567.311,,3600.0,
S003-FOD-01,Q2-016,S003,5025.174,,10800.0,
S003-FOD-02,Q2-016,S003,5025.174,,10800.0,
S003-HYG-01,Q2-016,S003,5025.174,,14400.0,
S003-MED-01,Q2-015,S003,4532.842,7200.0,7200.0,是
S003-WAT-01,Q2-016,S003,5025.174,7200.0,7200.0,是
S003-WAT-02,Q2-016,S003,5025.174,,7200.0,
S003-WAT-03,Q2-016,S003,5025.174,,7200.0,
S003-WAT-04,Q2-015,S003,4532.842,,7200.0,
S004-FOD-01,Q2-017,S004,4979.83,,10800.0,
S004-HYG-01,Q2-003,S004,1403.627,,14400.0,
S004-MED-01,Q2-003,S004,1403.627,7200.0,7200.0,是
S004-WAT-01,Q2-018,S004,4914.622,7200.0,7200.0,是
S004-WAT-02,Q2-018,S004,4914.622,,7200.0,
S004-WAT-03,Q2-017,S004,4979.83,,7200.0,
S005-FOD-01,Q2-020,S005,5113.106,,14400.0,
S005-HYG-01,Q2-020,S005,5113.106,,18000.0,
S005-MED-01,Q2-020,S005,5113.106,10800.0,10800.0,是
S005-WAT-01,Q2-020,S005,5113.106,10800.0,10800.0,是
S005-WAT-02,Q2-020,S005,5113.106,,10800.0,
S005-WAT-03,Q2-020,S005,5113.106,,10800.0,
S006-FOD-01,Q2-008,S006,1209.08,,7200.0,
S006-HYG-01,Q2-008,S006,1209.08,,10800.0,
S006-MED-01,Q2-008,S006,1209.08,3600.0,3600.0,是
S006-WAT-01,Q2-008,S006,1209.08,3600.0,3600.0,是
S006-WAT-02,Q2-008,S006,1209.08,,3600.0,
S006-WAT-03,Q2-008,S006,1209.08,,3600.0,
S007-FOD-01,Q2-005,S007,1141.3,,7200.0,
S007-HYG-01,Q2-016,S007,4386.006,,10800.0,
S007-MED-01,Q2-006,S007,1725.485,3600.0,3600.0,是
S007-WAT-01,Q2-005,S007,1141.3,3600.0,3600.0,是
S007-WAT-02,Q2-006,S007,1725.485,,3600.0,
S008-FOD-01,Q2-019,S008,5025.574,,10800.0,
S008-HYG-01,Q2-009,S008,2787.745,,14400.0,
S008-MED-01,Q2-019,S008,5025.574,7200.0,7200.0,是
S008-WAT-01,Q2-009,S008,2787.745,7200.0,7200.0,是
S008-WAT-02,Q2-019,S008,5025.574,,7200.0,
S009-FOD-01,Q2-014,S009,3967.129,,14400.0,
S009-MED-01,Q2-004,S009,1157.358,10800.0,10800.0,是
S009-WAT-01,Q2-004,S009,1157.358,10800.0,10800.0,是
S010-FOD-01,Q2-001,S010,1084.823,,7200.0,
S010-MED-01,Q2-001,S010,1084.823,3600.0,3600.0,是
S010-WAT-01,Q2-001,S010,1084.823,3600.0,3600.0,是
S011-FOD-01,Q2-022,S011,5425.262,,14400.0,
S011-MED-01,Q2-015,S011,3690.566,10800.0,10800.0,是
S011-WAT-01,Q2-022,S011,5425.262,10800.0,10800.0,是
S012-FOD-01,Q2-012,S012,3062.462,,7200.0,
S012-MED-01,Q2-004,S012,1660.768,7200.0,7200.0,是
S012-WAT-01,Q2-012,S012,3062.462,3600.0,3600.0,是
S013-FOD-01,Q2-013,S013,3230.632,,7200.0,
S013-MED-01,Q2-013,S013,3230.632,3600.0,3600.0,是
S013-WAT-01,Q2-013,S013,3230.632,3600.0,3600.0,是
S014-FOD-01,Q2-002,S014,1241.856,,7200.0,
S014-MED-01,Q2-002,S014,1241.856,7200.0,7200.0,是
S014-WAT-01,Q2-002,S014,1241.856,3600.0,3600.0,是
S015-FOD-01,Q2-021,S015,5119.156,,14400.0,
S015-MED-01,Q2-006,S015,1258.547,7200.0,7200.0,是
S015-WAT-01,Q2-021,S015,5119.156,10800.0,10800.0,是
