架次编号,无人机编号,机型编号,电池编号,开始时刻s,访问服务区顺序,返回O01时刻s,架次能耗kWh,返航SOC%,货箱编号列表
Q3-001,U01,A,A-BAT-01,0.0,S008,2116.206,3.026388,32.7469,S008-MED-01
Q3-002,U05,B,B-BAT-01,0.0,S012,1923.801,2.755193,31.1202,"S012-FOD-01,S012-MED-01,S012-WAT-01"
Q3-003,U07,C,C-BAT-01,0.0,S006,1560.864,2.593935,67.5758,"S006-FOD-01,S006-HYG-01,S006-MED-01,S006-WAT-01,S006-WAT-02,S006-WAT-03"
Q3-004,U02,A,A-BAT-02,0.0,S003,2262.279,3.082689,31.4958,"S003-FOD-02,S003-WAT-01"
Q3-005,U06,B,B-BAT-02,0.0,S013,1510.401,1.824534,54.3867,"S013-FOD-01,S013-MED-01,S013-WAT-01"
Q3-008,U08,C,C-BAT-02,0.0,S001,1627.427,3.004662,62.4417,"S001-FOD-02,S001-FOD-03,S001-MED-01,S001-MED-02,S001-WAT-02,S001-WAT-04,S001-WAT-05,S001-WAT-06"
Q3-014,U03,A,A-BAT-03,0.0,S007,1727.319,1.905043,57.6657,"S007-MED-01,S007-WAT-02"
Q3-015,U04,A,A-BAT-04,0.0,S002,2007.733,3.028143,32.7079,"S002-FOD-02,S002-WAT-01"
Q3-006,U06,B,B-BAT-03,1510.401,S014,3378.999,2.137233,46.5692,"S014-FOD-01,S014-MED-01,S014-WAT-01"
Q3-010,U07,C,C-BAT-03,1560.864,S001,3122.291,2.926237,63.422,"S001-FOD-01,S001-HYG-01,S001-HYG-02,S001-WAT-01,S001-WAT-03,S001-WAT-07,S001-WAT-08"
Q3-011,U08,C,C-BAT-04,1627.427,S002,3738.435,5.8716,26.605,"S002-FOD-01,S002-HYG-01,S002-MED-01,S002-WAT-02,S002-WAT-03,S002-WAT-04"
Q3-016,U03,A,A-BAT-05,1727.319,S007,3394.637,1.805619,59.8751,S007-HYG-01
Q3-007,U05,B,B-BAT-04,1923.801,S010,3478.374,1.821004,54.4749,"S010-FOD-01,S010-MED-01,S010-WAT-01"
Q3-017,U04,A,A-BAT-06,2007.733,S007,3735.051,1.970612,56.2086,"S007-FOD-01,S007-WAT-01"
Q3-013,U07,C,C-BAT-01,3122.291,S005,5002.336,4.238735,47.0158,"S005-FOD-01,S005-HYG-01,S005-MED-01,S005-WAT-01,S005-WAT-02,S005-WAT-03"
Q3-009,U06,B,B-BAT-02,3378.999,S009,4939.779,2.102431,47.4392,"S009-FOD-01,S009-MED-01,S009-WAT-01"
Q3-024,U03,A,A-BAT-01,3490.496,S008,5666.702,3.320438,26.2125,"S008-FOD-01,S008-WAT-01"
Q3-019,U08,C,C-BAT-02,3738.435,S003,6174.246,5.895367,26.3079,"S003-FOD-01,S003-HYG-01,S003-MED-01,S003-WAT-02,S003-WAT-03,S003-WAT-04"
Q3-012,U05,B,B-BAT-01,3784.385,S011,4974.016,1.077146,73.0713,"S011-FOD-01,S011-MED-01,S011-WAT-01"
Q3-018,U01,A,A-BAT-03,4515.348,S004,6699.309,3.098605,31.1421,"S004-MED-01,S004-WAT-03"
Q3-023,U02,A,A-BAT-04,4515.348,S004,6699.309,3.203323,28.815,"S004-FOD-01,S004-WAT-01"
Q3-020,U06,B,B-BAT-04,4939.779,S004,6865.552,2.678518,33.0371,"S004-HYG-01,S004-WAT-02"
Q3-022,U05,B,B-BAT-03,4974.016,S008,6879.906,2.773426,30.6643,"S008-HYG-01,S008-WAT-02"
Q3-021,U07,C,C-BAT-03,5002.336,S015,6970.143,4.081556,48.9805,"S015-FOD-01,S015-MED-01,S015-WAT-01"
