运输架次编号,通信阶段,开始时刻s,结束时刻s,保障方式,中继架次编号
Q3-001,爬升,330.000,411.736,直连,
Q3-001,巡航,411.736,776.736,直连,
Q3-001,巡航,776.736,1087.526,中继,Q3-R01
Q3-001,下降,1087.526,1128.330,中继,Q3-R01
Q3-001,物资交接,1128.330,1308.330,中继,Q3-R01
Q3-001,爬升,1308.330,1342.333,中继,Q3-R01
Q3-001,巡航,1342.333,1653.333,中继,Q3-R01
Q3-001,巡航,1653.333,2018.122,直连,
Q3-001,下降,2018.122,2116.206,直连,
Q3-002,爬升,390.000,485.200,直连,
Q3-002,巡航,485.200,749.200,直连,
Q3-002,巡航,749.200,838.200,中继,Q3-R01
Q3-002,巡航,838.200,978.430,中继,Q3-R02
Q3-002,下降,978.430,1031.831,中继,Q3-R02
Q3-002,物资交接,1031.831,1271.831,中继,Q3-R02
Q3-002,爬升,1271.831,1316.331,中继,Q3-R02
Q3-002,巡航,1316.331,1458.331,中继,Q3-R02
Q3-002,巡航,1458.331,1547.331,中继,Q3-R01
Q3-002,巡航,1547.331,1809.561,直连,
Q3-002,下降,1809.561,1923.801,直连,
Q3-003,爬升,480.000,575.359,直连,
Q3-003,巡航,575.359,787.428,直连,
Q3-003,下降,787.428,813.077,直连,
Q3-003,物资交接,813.077,1209.077,直连,
Q3-003,爬升,1209.077,1229.596,直连,
Q3-003,巡航,1229.596,1441.665,直连,
Q3-003,下降,1441.665,1560.864,直连,
Q3-004,爬升,360.000,504.701,直连,
Q3-004,巡航,504.701,832.701,直连,
Q3-004,巡航,832.701,1109.791,中继,Q3-R01
Q3-004,下降,1109.791,1199.113,中继,Q3-R01
Q3-004,物资交接,1199.113,1409.113,中继,Q3-R01
Q3-004,爬升,1409.113,1483.547,中继,Q3-R01
Q3-004,巡航,1483.547,1761.547,中继,Q3-R01
Q3-004,巡航,1761.547,2088.637,直连,
Q3-004,下降,2088.637,2262.279,直连,
Q3-005,爬升,390.000,480.494,直连,
Q3-005,巡航,480.494,744.494,直连,
Q3-005,巡航,744.494,760.494,中继,Q3-R01
Q3-005,巡航,760.494,803.741,中继,Q3-R02
Q3-005,下降,803.741,822.734,中继,Q3-R02
Q3-005,物资交接,822.734,1062.734,中继,Q3-R02
Q3-005,爬升,1062.734,1078.561,中继,Q3-R02
Q3-005,巡航,1078.561,1122.561,中继,Q3-R02
Q3-005,巡航,1122.561,1139.561,中继,Q3-R01
Q3-005,巡航,1139.561,1401.808,直连,
Q3-005,下降,1401.808,1510.401,直连,
Q3-008,爬升,540.000,598.143,直连,
Q3-008,巡航,598.143,802.370,直连,
Q3-008,下降,802.370,846.898,直连,
Q3-008,物资交接,846.898,1314.898,直连,
Q3-008,爬升,1314.898,1350.521,直连,
Q3-008,巡航,1350.521,1554.748,直连,
Q3-008,下降,1554.748,1627.427,直连,
Q3-014,爬升,360.000,488.091,直连,
Q3-014,巡航,488.091,817.091,直连,
Q3-014,巡航,817.091,819.091,中继,Q3-R01
Q3-014,巡航,819.091,821.091,直连,
Q3-014,巡航,821.091,865.910,中继,Q3-R01
Q3-014,下降,865.910,931.299,中继,Q3-R01
Q3-014,物资交接,931.299,1141.299,中继,Q3-R01
Q3-014,爬升,1141.299,1195.790,中继,Q3-R01
Q3-014,巡航,1195.790,1239.790,中继,Q3-R01
Q3-014,巡航,1239.790,1240.790,直连,
Q3-014,巡航,1240.790,1242.790,中继,Q3-R01
Q3-014,巡航,1242.790,1243.790,直连,
Q3-014,巡航,1243.790,1245.790,中继,Q3-R01
Q3-014,巡航,1245.790,1573.609,直连,
Q3-014,下降,1573.609,1727.319,直连,
Q3-015,爬升,360.000,420.418,直连,
Q3-015,巡航,420.418,750.418,直连,
Q3-015,巡航,750.418,1040.025,中继,Q3-R01
Q3-015,下降,1040.025,1075.806,中继,Q3-R01
Q3-015,物资交接,1075.806,1285.806,中继,Q3-R01
Q3-015,爬升,1285.806,1315.624,中继,Q3-R01
Q3-015,巡航,1315.624,1606.624,中继,Q3-R01
Q3-015,巡航,1606.624,1935.231,直连,
Q3-015,下降,1935.231,2007.733,直连,
Q3-006,爬升,1900.401,2055.150,直连,
Q3-006,巡航,2055.150,2318.150,直连,
Q3-006,巡航,2318.150,2415.878,中继,Q3-R02
Q3-006,下降,2415.878,2512.257,中继,Q3-R02
Q3-006,物资交接,2512.257,2752.257,中继,Q3-R02
Q3-006,爬升,2752.257,2832.573,中继,Q3-R02
Q3-006,巡航,2832.573,2931.573,中继,Q3-R02
Q3-006,巡航,2931.573,3193.300,直连,
Q3-006,下降,3193.300,3378.999,直连,
Q3-010,爬升,2070.864,2129.007,直连,
Q3-010,巡航,2129.007,2333.234,直连,
Q3-010,下降,2333.234,2377.762,直连,
Q3-010,物资交接,2377.762,2809.762,直连,
Q3-010,爬升,2809.762,2845.385,直连,
Q3-010,巡航,2845.385,3049.612,直连,
Q3-010,下降,3049.612,3122.291,直连,
Q3-011,爬升,2107.427,2179.929,直连,
Q3-011,巡航,2179.929,2443.929,直连,
Q3-011,巡航,2443.929,2675.614,中继,Q3-R01
Q3-011,下降,2675.614,2720.341,中继,Q3-R01
Q3-011,物资交接,2720.341,3116.341,中继,Q3-R01
Q3-011,爬升,3116.341,3152.123,中继,Q3-R01
Q3-011,巡航,3152.123,3385.123,中继,Q3-R01
Q3-011,巡航,3385.123,3647.808,直连,
Q3-011,下降,3647.808,3738.435,直连,
Q3-016,爬升,2057.319,2185.410,直连,
Q3-016,巡航,2185.410,2514.410,直连,
Q3-016,巡航,2514.410,2516.410,中继,Q3-R01
Q3-016,巡航,2516.410,2518.410,直连,
Q3-016,巡航,2518.410,2563.229,中继,Q3-R01
Q3-016,下降,2563.229,2628.618,中继,Q3-R01
Q3-016,物资交接,2628.618,2808.618,中继,Q3-R01
Q3-016,爬升,2808.618,2863.109,中继,Q3-R01
Q3-016,巡航,2863.109,2907.109,中继,Q3-R01
Q3-016,巡航,2907.109,2908.109,直连,
Q3-016,巡航,2908.109,2910.109,中继,Q3-R01
Q3-016,巡航,2910.109,2911.109,直连,
Q3-016,巡航,2911.109,2913.109,中继,Q3-R01
Q3-016,巡航,2913.109,3240.928,直连,
Q3-016,下降,3240.928,3394.638,直连,
Q3-007,爬升,2313.801,2416.447,直连,
Q3-007,巡航,2416.447,2680.447,直连,
Q3-007,巡航,2680.447,2735.009,中继,Q3-R02
Q3-007,下降,2735.009,2768.624,中继,Q3-R02
Q3-007,物资交接,2768.624,3008.624,中继,Q3-R02
Q3-007,爬升,3008.624,3036.636,中继,Q3-R02
Q3-007,巡航,3036.636,3092.636,中继,Q3-R02
Q3-007,巡航,3092.636,3355.199,直连,
Q3-007,下降,3355.199,3478.373,直连,
Q3-017,爬升,2367.733,2495.824,直连,
Q3-017,巡航,2495.824,2824.824,直连,
Q3-017,巡航,2824.824,2826.824,中继,Q3-R01
Q3-017,巡航,2826.824,2828.824,直连,
Q3-017,巡航,2828.824,2873.643,中继,Q3-R01
Q3-017,下降,2873.643,2939.032,中继,Q3-R01
Q3-017,物资交接,2939.032,3149.032,中继,Q3-R01
Q3-017,爬升,3149.032,3203.523,中继,Q3-R01
Q3-017,巡航,3203.523,3247.523,中继,Q3-R01
Q3-017,巡航,3247.523,3248.523,直连,
Q3-017,巡航,3248.523,3250.523,中继,Q3-R01
Q3-017,巡航,3250.523,3251.523,直连,
Q3-017,巡航,3251.523,3253.523,中继,Q3-R01
Q3-017,巡航,3253.523,3581.342,直连,
Q3-017,下降,3581.342,3735.052,直连,
Q3-013,爬升,3602.291,3681.775,直连,
Q3-013,巡航,3681.775,3945.775,直连,
Q3-013,巡航,3945.775,4035.243,中继,Q3-R01
Q3-013,下降,4035.243,4100.949,中继,Q3-R01
Q3-013,物资交接,4100.949,4496.949,中继,Q3-R01
Q3-013,爬升,4496.949,4549.513,中继,Q3-R01
Q3-013,巡航,4549.513,4639.513,中继,Q3-R01
Q3-013,巡航,4639.513,4902.981,直连,
Q3-013,下降,4902.981,5002.337,直连,
Q3-009,爬升,3768.999,3824.175,直连,
Q3-009,巡航,3824.175,4088.175,直连,
Q3-009,巡航,4088.175,4205.687,中继,Q3-R01
Q3-009,下降,4205.687,4230.979,中继,Q3-R01
Q3-009,物资交接,4230.979,4470.979,中继,Q3-R01
Q3-009,爬升,4470.979,4492.055,中继,Q3-R01
Q3-009,巡航,4492.055,4610.055,中继,Q3-R01
Q3-009,巡航,4610.055,4873.567,直连,
Q3-009,下降,4873.567,4939.779,直连,
Q3-024,爬升,3850.496,3932.232,直连,
Q3-024,巡航,3932.232,4297.232,直连,
Q3-024,巡航,4297.232,4608.022,中继,Q3-R01
Q3-024,下降,4608.022,4648.826,中继,Q3-R01
Q3-024,物资交接,4648.826,4858.826,中继,Q3-R01
Q3-024,爬升,4858.826,4892.829,中继,Q3-R01
Q3-024,巡航,4892.829,5203.829,中继,Q3-R01
Q3-024,巡航,5203.829,5568.618,直连,
Q3-024,下降,5568.618,5666.702,直连,
Q3-019,爬升,4218.435,4392.077,直连,
Q3-019,巡航,4392.077,4655.077,直连,
Q3-019,巡航,4655.077,4876.148,中继,Q3-R01
Q3-019,下降,4876.148,4987.800,中继,Q3-R01
Q3-019,物资交接,4987.800,5383.800,中继,Q3-R01
Q3-019,爬升,5383.800,5473.122,中继,Q3-R01
Q3-019,巡航,5473.122,5695.122,中继,Q3-R01
Q3-019,巡航,5695.122,5957.194,直连,
Q3-019,下降,5957.194,6174.246,直连,
Q3-012,爬升,4174.385,4230.272,直连,
Q3-012,巡航,4230.272,4418.082,直连,
Q3-012,下降,4418.082,4451.387,直连,
Q3-012,物资交接,4451.387,4691.387,直连,
Q3-012,爬升,4691.387,4719.141,直连,
Q3-012,巡航,4719.141,4906.951,直连,
Q3-012,下降,4906.951,4974.016,直连,
Q3-018,爬升,4875.348,4965.528,直连,
Q3-018,巡航,4965.528,5435.528,直连,
Q3-018,巡航,5435.528,5611.000,中继,Q3-R01
Q3-018,下降,5611.000,5669.000,中继,Q3-R01
Q3-018,下降,5669.000,5678.975,中继,Q3-R03
Q3-018,物资交接,5678.975,5888.975,中继,Q3-R03
Q3-018,爬升,5888.975,5897.975,中继,Q3-R03
Q3-018,爬升,5897.975,5945.622,中继,Q3-R01
Q3-018,巡航,5945.622,6122.622,中继,Q3-R01
Q3-018,巡航,6122.622,6591.094,直连,
Q3-018,下降,6591.094,6699.309,直连,
Q3-023,爬升,4875.348,4965.528,直连,
Q3-023,巡航,4965.528,5435.528,直连,
Q3-023,巡航,5435.528,5611.000,中继,Q3-R01
Q3-023,下降,5611.000,5669.000,中继,Q3-R01
Q3-023,下降,5669.000,5678.975,中继,Q3-R03
Q3-023,物资交接,5678.975,5888.975,中继,Q3-R03
Q3-023,爬升,5888.975,5897.975,中继,Q3-R03
Q3-023,爬升,5897.975,5945.622,中继,Q3-R01
Q3-023,巡航,5945.622,6122.622,中继,Q3-R01
Q3-023,巡航,6122.622,6591.094,直连,
Q3-023,下降,6591.094,6699.309,直连,
Q3-020,爬升,5299.779,5389.959,直连,
Q3-020,巡航,5389.959,5765.959,直连,
Q3-020,巡航,5765.959,5906.336,中继,Q3-R01
Q3-020,下降,5906.336,5964.336,中继,Q3-R01
Q3-020,下降,5964.336,5974.312,中继,Q3-R03
Q3-020,物资交接,5974.312,6184.312,中继,Q3-R03
Q3-020,爬升,6184.312,6193.312,中继,Q3-R03
Q3-020,爬升,6193.312,6240.958,中继,Q3-R01
Q3-020,巡航,6240.958,6381.958,中继,Q3-R01
Q3-020,巡航,6381.958,6757.336,直连,
Q3-020,下降,6757.336,6865.551,直连,
Q3-022,爬升,5334.016,5415.752,直连,
Q3-022,巡航,5415.752,5707.752,直连,
Q3-022,巡航,5707.752,5956.384,中继,Q3-R01
Q3-022,下降,5956.384,5997.188,中继,Q3-R01
Q3-022,物资交接,5997.188,6207.188,中继,Q3-R01
Q3-022,爬升,6207.188,6241.191,中继,Q3-R01
Q3-022,巡航,6241.191,6490.191,中继,Q3-R01
Q3-022,巡航,6490.191,6781.822,直连,
Q3-022,下降,6781.822,6879.906,直连,
Q3-021,爬升,5392.336,5569.976,直连,
Q3-021,巡航,5569.976,5832.976,直连,
Q3-021,巡航,5832.976,5971.250,中继,Q3-R01
Q3-021,下降,5971.250,6019.900,中继,Q3-R01
Q3-021,物资交接,6019.900,6307.900,中继,Q3-R01
Q3-021,爬升,6307.900,6346.819,中继,Q3-R01
Q3-021,巡航,6346.819,6486.819,中继,Q3-R01
Q3-021,巡航,6486.819,6748.094,直连,
Q3-021,下降,6748.094,6970.143,直连,
