运输架次编号,通信阶段,开始时刻s,结束时刻s,保障方式,中继架次编号
Q2-001,爬升,390.000,492.646,直连,
Q2-001,巡航,492.646,756.646,直连,
Q2-001,巡航,756.646,811.208,中继,Q3-R02
Q2-001,下降,811.208,844.823,中继,Q3-R02
Q2-001,物资交接,844.823,1084.823,中继,Q3-R02
Q2-001,爬升,1084.823,1112.835,中继,Q3-R02
Q2-001,巡航,1112.835,1168.835,中继,Q3-R02
Q2-001,巡航,1168.835,1431.398,直连,
Q2-001,下降,1431.398,1554.572,直连,
Q2-002,爬升,390.000,544.749,直连,
Q2-002,巡航,544.749,807.749,直连,
Q2-002,巡航,807.749,905.477,中继,Q3-R02
Q2-002,下降,905.477,1001.856,中继,Q3-R02
Q2-002,物资交接,1001.856,1241.856,中继,Q3-R02
Q2-002,爬升,1241.856,1322.172,中继,Q3-R02
Q2-002,巡航,1322.172,1421.172,中继,Q3-R02
Q2-002,巡航,1421.172,1682.899,直连,
Q2-002,下降,1682.899,1868.598,直连,
Q2-007,爬升,540.000,598.143,直连,
Q2-007,巡航,598.143,802.370,直连,
Q2-007,下降,802.370,846.898,直连,
Q2-007,物资交接,846.898,1314.898,直连,
Q2-007,爬升,1314.898,1350.521,直连,
Q2-007,巡航,1350.521,1554.748,直连,
Q2-007,下降,1554.748,1627.427,直连,
Q2-010,爬升,510.000,568.143,直连,
Q2-010,巡航,568.143,772.370,直连,
Q2-010,下降,772.370,816.898,直连,
Q2-010,物资交接,816.898,1248.898,直连,
Q2-010,爬升,1248.898,1284.521,直连,
Q2-010,巡航,1284.521,1488.748,直连,
Q2-010,下降,1488.748,1561.427,直连,
Q2-006,爬升,1840.520,1968.611,直连,
Q2-006,巡航,1968.611,2297.611,直连,
Q2-006,巡航,2297.611,2299.611,中继,Q3-R01
Q2-006,巡航,2299.611,2301.611,直连,
Q2-006,巡航,2301.611,2346.430,中继,Q3-R01
Q2-006,下降,2346.430,2411.819,中继,Q3-R01
Q2-006,物资交接,2411.819,2621.819,中继,Q3-R01
Q2-006,爬升,2621.819,2673.292,中继,Q3-R01
Q2-006,巡航,2673.292,2858.991,中继,Q3-R01
Q2-006,下降,2858.991,2870.358,中继,Q3-R01
Q2-006,物资交接,2870.358,3050.358,中继,Q3-R01
Q2-006,爬升,3050.358,3082.791,中继,Q3-R01
Q2-006,巡航,3082.791,3256.791,中继,Q3-R01
Q2-006,巡航,3256.791,3584.384,直连,
Q2-006,下降,3584.384,3762.024,直连,
Q2-005,爬升,1840.520,1968.611,直连,
Q2-005,巡航,1968.611,2297.611,直连,
Q2-005,巡航,2297.611,2299.611,中继,Q3-R01
Q2-005,巡航,2299.611,2301.611,直连,
Q2-005,巡航,2301.611,2346.430,中继,Q3-R01
Q2-005,下降,2346.430,2411.819,中继,Q3-R01
Q2-005,物资交接,2411.819,2621.819,中继,Q3-R01
Q2-005,爬升,2621.819,2676.310,中继,Q3-R01
Q2-005,巡航,2676.310,2720.310,中继,Q3-R01
Q2-005,巡航,2720.310,2721.310,直连,
Q2-005,巡航,2721.310,2723.310,中继,Q3-R01
Q2-005,巡航,2723.310,2724.310,直连,
Q2-005,巡航,2724.310,2726.310,中继,Q3-R01
Q2-005,巡航,2726.310,3054.129,直连,
Q2-005,下降,3054.129,3207.839,直连,
Q2-004,爬升,1912.048,1967.224,直连,
Q2-004,巡航,1967.224,2297.224,直连,
Q2-004,巡航,2297.224,2444.114,中继,Q3-R01
Q2-004,下降,2444.114,2469.406,中继,Q3-R01
Q2-004,物资交接,2469.406,2679.406,中继,Q3-R01
Q2-004,爬升,2679.406,2700.482,中继,Q3-R01
Q2-004,巡航,2700.482,2848.482,中继,Q3-R01
Q2-004,巡航,2848.482,3177.372,直连,
Q2-004,下降,3177.372,3243.584,直连,
Q2-014,爬升,1912.048,1967.224,直连,
Q2-014,巡航,1967.224,2297.224,直连,
Q2-014,巡航,2297.224,2444.114,中继,Q3-R01
Q2-014,下降,2444.114,2469.406,中继,Q3-R01
Q2-014,物资交接,2469.406,2649.406,中继,Q3-R01
Q2-014,爬升,2649.406,2682.168,中继,Q3-R01
Q2-014,巡航,2682.168,2826.409,中继,Q3-R01
Q2-014,下降,2826.409,2869.923,中继,Q3-R01
Q2-014,物资交接,2869.923,3049.923,中继,Q3-R01
Q2-014,爬升,3049.923,3079.741,中继,Q3-R01
Q2-014,巡航,3079.741,3370.741,中继,Q3-R01
Q2-014,巡航,3370.741,3699.348,直连,
Q2-014,下降,3699.348,3771.850,直连,
Q2-013,爬升,1944.573,2035.067,直连,
Q2-013,巡航,2035.067,2299.067,直连,
Q2-013,巡航,2299.067,2312.067,中继,Q3-R01
Q2-013,巡航,2312.067,2358.314,中继,Q3-R02
Q2-013,下降,2358.314,2377.307,中继,Q3-R02
Q2-013,物资交接,2377.307,2617.307,中继,Q3-R02
Q2-013,爬升,2617.307,2633.134,中继,Q3-R02
Q2-013,巡航,2633.134,2680.134,中继,Q3-R02
Q2-013,巡航,2680.134,2694.134,中继,Q3-R01
Q2-013,巡航,2694.134,2956.381,直连,
Q2-013,下降,2956.381,3064.974,直连,
Q2-008,爬升,2041.427,2136.786,直连,
Q2-008,巡航,2136.786,2348.855,直连,
Q2-008,下降,2348.855,2374.504,直连,
Q2-008,物资交接,2374.504,2770.504,直连,
Q2-008,爬升,2770.504,2791.023,直连,
Q2-008,巡航,2791.023,3003.092,直连,
Q2-008,下降,3003.092,3122.291,直连,
Q2-011,爬升,2137.427,2209.929,直连,
Q2-011,巡航,2209.929,2473.929,直连,
Q2-011,巡航,2473.929,2705.614,中继,Q3-R01
Q2-011,下降,2705.614,2750.341,中继,Q3-R01
Q2-011,物资交接,2750.341,3182.341,中继,Q3-R01
Q2-011,爬升,3182.341,3218.123,中继,Q3-R01
Q2-011,巡航,3218.123,3451.123,中继,Q3-R01
Q2-011,巡航,3451.123,3713.808,直连,
Q2-011,下降,3713.808,3804.435,直连,
Q2-012,爬升,2258.599,2353.799,直连,
Q2-012,巡航,2353.799,2617.799,直连,
