服务区编号,机型,架次数,总能耗kWh,总作业时间s
S001,A,10,12.3629,12224.7
S001,B,7,7.7736,8112.5
S001,C,2,5.9309,3188.9
S002,A,5,14.6321,9918.7
S002,B,4,10.1624,7039.6
S002,C,2,10.4526,3958.0
S003,A,5,14.8886,11191.4
S003,B,4,10.3897,8081.0
S003,C,2,10.4943,4607.6
S004,A,4,12.2745,8615.8
S004,B,3,8.0162,5777.3
S004,C,1,6.1769,2305.2
S005,A,4,8.4354,6663.0
S005,B,3,5.5113,4557.1
S005,C,1,4.2387,1880.0
S006,A,4,5.1846,5130.5
S006,B,3,3.4008,3619.7
S006,C,1,2.5939,1560.9
S007,A,3,5.67,5122.0
S007,B,2,3.436,3212.4
S007,C,1,3.4104,1907.5
S008,A,3,9.564,6468.6
S008,B,2,5.7594,3871.8
S008,C,1,5.8575,2203.8
S009,A,2,4.4152,3323.1
S009,B,1,2.1024,1560.8
S009,C,1,3.7806,1646.9
S010,A,2,3.8092,3247.7
S010,B,1,1.821,1554.6
S010,C,1,3.226,1667.9
S011,A,2,2.2549,2387.1
S011,B,1,1.0771,1189.6
S011,C,1,1.9059,1279.5
S012,A,2,5.7803,4160.8
S012,B,1,2.7552,1923.8
S012,C,1,4.9271,2041.7
S013,A,2,3.8196,3164.0
S013,B,1,1.8245,1510.4
S013,C,1,3.2488,1611.6
S014,A,2,4.4628,3917.9
S014,B,1,2.1372,1868.6
S014,C,1,3.7331,2034.1
S015,A,2,4.8288,3880.4
S015,B,1,2.3108,1829.6
S015,C,1,4.0816,1967.8
